ssoc,title,major_group,gross_wage_median,gross_wage_25th,gross_wage_75th,exposure,bottleneck,market_resilience,market_modifier,net_risk,risk_band,augmentation,augmentation_band,impact_type,confidence_level,confidence_score,match_quality
24133,Fund/Portfolio manager (including asset allocator),PROFESSIONALS,12060,7700,19500,0.9714,0.3119,0.8733,0.6944,0.4641,high,0.2646,moderate,mixed,high,0.8667,direct
22611,General dental practitioner,PROFESSIONALS,5163,5001,5540,0.2776,1.0000,0.4016,0.8595,0.0000,very_low,0.1115,low,stable,high,0.7420,direct
22110,General practitioner/physician,PROFESSIONALS,6335,5749,10021,0.3803,0.9554,0.5354,0.8126,0.0138,very_low,0.1946,moderate,ai_leveraged,medium,0.6333,submajor_fallback
22131,General surgeon,PROFESSIONALS,5580,4530,6290,0.3803,0.9554,0.4399,0.8460,0.0143,very_low,0.1598,moderate,ai_leveraged,medium,0.6333,submajor_fallback
21661,Graphic designer,PROFESSIONALS,3765,3010,4496,0.6788,0.4813,0.4295,0.8497,0.2991,moderate,0.1403,low,mixed,medium,0.6032,direct
24231,Human resource consultant (excluding executive search consultant),PROFESSIONALS,8800,6196,20000,0.8897,0.6123,0.7162,0.7493,0.2585,moderate,0.3902,high,mixed,high,0.7482,direct
21652,Hydrographic surveyor,PROFESSIONALS,5450,3975,7882,0.6061,0.2843,0.5465,0.8087,0.3508,high,0.0942,low,at_risk,high,0.7667,direct
25152,ICT auditor,PROFESSIONALS,12311,10512,15582,0.8342,0.2906,0.6096,0.7866,0.4656,high,0.1478,low,mixed,medium,0.6881,direct
25112,ICT business process consultant/Business analyst,PROFESSIONALS,8500,6264,11043,0.8128,0.4439,0.6201,0.7830,0.3539,high,0.2237,moderate,mixed,medium,0.7000,direct
25151,ICT quality assurance specialist,PROFESSIONALS,7666,4797,14424,0.8342,0.2906,0.6827,0.7611,0.4504,high,0.1655,moderate,mixed,medium,0.6881,direct
24333,ICT sales and services professional,PROFESSIONALS,8433,4300,16132,0.8136,0.5731,0.7096,0.7516,0.2611,moderate,0.3309,high,mixed,medium,0.6286,direct
26343,Industrial and organisational psychologist,PROFESSIONALS,6706,5277,8762,0.4651,0.7406,0.6145,0.7849,0.0947,low,0.2117,moderate,ai_leveraged,high,0.7461,direct
21442,Industrial machinery and tools engineer,PROFESSIONALS,6000,4642,7620,0.6781,0.7362,0.5026,0.8241,0.1474,low,0.2509,moderate,ai_leveraged,high,0.7667,direct
24234,Industrial relations officer,PROFESSIONALS,5292,4078,6528,0.8897,0.6123,0.4738,0.8342,0.2877,moderate,0.2581,moderate,mixed,high,0.7482,direct
21493,Industrial safety engineer,PROFESSIONALS,6602,4649,9009,0.5841,0.6783,0.5789,0.7974,0.1499,low,0.2294,moderate,ai_leveraged,high,0.7667,direct
26112,"In-house legal counsel (except judiciary, ministries and statutory boards)",PROFESSIONALS,17972,12000,22218,0.9057,0.8913,0.6937,0.7572,0.0746,low,0.5600,very_high,ai_leveraged,high,0.7413,direct
21525,Instrumentation engineer,PROFESSIONALS,6945,4142,8775,0.5867,0.5178,0.7706,0.7303,0.2066,moderate,0.2341,moderate,ai_leveraged,high,0.9333,direct
24160,Insurance underwriter,PROFESSIONALS,6991,4800,12200,0.7995,0.1533,0.6538,0.7712,0.5220,very_high,0.0801,low,at_risk,high,0.7667,direct
24251,Intellectual property agent,PROFESSIONALS,4464,3111,5300,0.8634,0.0472,0.4752,0.8337,0.6858,very_high,0.0194,very_low,at_risk,high,0.7667,direct
21664,Interaction designer,PROFESSIONALS,7883,5913,11400,0.6788,0.4813,0.6285,0.7800,0.2746,moderate,0.2053,moderate,mixed,medium,0.6032,direct
22124,Internal medicine physician,PROFESSIONALS,6391,6071,8186,0.4832,0.9554,0.4613,0.8386,0.0181,very_low,0.2129,moderate,ai_leveraged,medium,0.6333,submajor_fallback
25232,IT infrastructure specialist,PROFESSIONALS,7881,5718,10740,0.5410,0.3253,0.7028,0.7540,0.2752,moderate,0.1237,low,mixed,high,0.8000,direct
26421,Journalist,PROFESSIONALS,6000,4779,8423,0.7997,0.7014,0.5294,0.8147,0.1945,moderate,0.2969,moderate,ai_leveraged,high,0.7667,direct
21651,Land surveyor,PROFESSIONALS,5000,3185,6351,0.6061,0.2843,0.5379,0.8117,0.3521,high,0.0927,low,at_risk,high,0.7667,direct
21621,Landscape architect,PROFESSIONALS,6145,5500,10102,0.5488,0.6684,0.5461,0.8089,0.1472,low,0.2003,moderate,ai_leveraged,high,0.7667,direct
